date,demand,quarter,season_sin,season_cos,possible_working_days,avg_weight,ap_price_weight,crude_price_weight,demand_lag1,demand_lag3,ap_price_weight_lag1,ap_price_weight_lag3,ap_price_weight_lag6,crude_price_weight_lag1,crude_price_weight_lag3,crude_price_weight_lag6,demand_rollmean_3,crude_price_weight_rollmean_3,crude_price_weight_rollmean_6
200608,168196.0,3,-0.8660254037844384,-0.5000000000000004,23.0,0.0765,142183.76666666666,141076.24137931035,92099.0,165099.0,131693.46666666667,131693.46666666667,142183.76666666666,141076.24137931035,143202.33333333334,133424.93333333332,140919.66666666666,141784.938697318,140864.069348659
200609,202589.0,3,-1.0,-1.8369701987210297e-16,21.0,0.0937,142183.76666666666,143202.33333333334,168196.0,162464.0,142183.76666666666,142183.76666666666,131693.46666666667,141076.24137931035,143202.33333333334,133424.93333333332,154294.66666666666,141784.938697318,142493.6360153257
200610,137023.0,4,-0.8660254037844386,0.5000000000000001,22.0,0.0981,142183.76666666666,133424.93333333332,202589.0,92099.0,142183.76666666666,131693.46666666667,131693.46666666667,143202.33333333334,141076.24137931035,143202.33333333334,169269.33333333334,139234.50268199234,140864.06934865902
200611,196023.0,4,-0.5000000000000004,0.8660254037844384,22.0,0.112,154216.44827586206,133424.93333333332,137023.0,168196.0,142183.76666666666,142183.76666666666,131693.46666666667,133424.93333333332,141076.24137931035,143202.33333333334,178545.0,136684.06666666665,139234.50268199234
200612,216782.0,4,-2.4492935982947064e-16,1.0,19.0,0.1085,154216.44827586206,143202.33333333334,196023.0,202589.0,154216.44827586206,142183.76666666666,142183.76666666666,133424.93333333332,143202.33333333334,143202.33333333334,183276.0,136684.06666666665,139234.50268199234
200701,68866.0,1,0.49999999999999994,0.8660254037844387,23.0,0.034,142183.76666666666,133424.93333333332,216782.0,137023.0,154216.44827586206,142183.76666666666,131693.46666666667,143202.33333333334,133424.93333333332,141076.24137931035,160557.0,136684.06666666665,137959.28467432948
200702,81741.0,1,0.8660254037844386,0.5000000000000001,20.0,0.0359,142183.76666666666,133424.93333333332,68866.0,196023.0,142183.76666666666,154216.44827586206,142183.76666666666,133424.93333333332,133424.93333333332,141076.24137931035,122463.0,136684.06666666665,136684.06666666668
200703,89081.0,1,1.0,6.123233995736766e-17,21.0,0.0679,142183.76666666666,143202.33333333334,81741.0,216782.0,142183.76666666666,154216.44827586206,142183.76666666666,133424.93333333332,143202.33333333334,143202.33333333334,79896.0,136684.06666666665,136684.06666666665
200704,145328.0,2,0.8660254037844387,-0.49999999999999983,21.0,0.0913,131693.46666666667,143202.33333333334,89081.0,68866.0,142183.76666666666,142183.76666666666,142183.76666666666,143202.33333333334,133424.93333333332,133424.93333333332,105383.33333333333,139943.19999999998,138313.63333333333
200705,193024.0,2,0.49999999999999994,-0.8660254037844387,23.0,0.1065,131693.46666666667,143202.33333333334,145328.0,81741.0,131693.46666666667,142183.76666666666,154216.44827586206,143202.33333333334,133424.93333333332,133424.93333333332,142477.66666666666,143202.33333333334,139943.2
200706,170488.0,2,1.2246467991473532e-16,-1.0,21.0,0.1117,131693.46666666667,141076.24137931035,193024.0,89081.0,131693.46666666667,142183.76666666666,154216.44827586206,143202.33333333334,143202.33333333334,143202.33333333334,169613.33333333334,142493.63601532567,139588.8513409962
200707,135429.0,3,-0.4999999999999998,-0.8660254037844388,21.0,0.0767,133655.41379310345,141076.24137931035,170488.0,145328.0,131693.46666666667,131693.46666666667,142183.76666666666,141076.24137931035,143202.33333333334,133424.93333333332,166313.66666666666,141784.938697318,140864.06934865902
200708,106629.0,3,-0.8660254037844384,-0.5000000000000004,21.0,0.0765,131693.46666666667,141076.24137931035,135429.0,193024.0,133655.41379310345,131693.46666666667,142183.76666666666,141076.24137931035,143202.33333333334,133424.93333333332,137515.33333333334,141076.24137931035,142139.28735632185
200709,125149.0,3,-1.0,-1.8369701987210297e-16,15.0,0.0937,133655.41379310345,142467.13333333333,106629.0,170488.0,131693.46666666667,131693.46666666667,142183.76666666666,141076.24137931035,141076.24137931035,143202.33333333334,122402.33333333333,141539.87203065134,142016.7540229885
200710,238845.0,4,-0.8660254037844386,0.5000000000000001,23.0,0.0981,146330.76666666666,142467.13333333333,125149.0,135429.0,133655.41379310345,133655.41379310345,131693.46666666667,142467.13333333333,141076.24137931035,143202.33333333334,156874.33333333334,142003.50268199234,141894.2206896552
200711,206931.0,4,-0.5000000000000004,0.8660254037844384,22.0,0.112,130369.4827586207,128837.6551724138,238845.0,106629.0,146330.76666666666,131693.46666666667,131693.46666666667,142467.13333333333,141076.24137931035,143202.33333333334,190308.33333333334,137923.97394636014,139500.10766283525
200712,197675.0,4,-2.4492935982947064e-16,1.0,21.0,0.1085,130369.4827586207,128837.6551724138,206931.0,125149.0,130369.4827586207,133655.41379310345,131693.46666666667,128837.6551724138,142467.13333333333,141076.24137931035,214483.66666666666,133380.81455938696,137460.34329501915
200801,63907.0,1,0.49999999999999994,0.8660254037844387,21.0,0.034,130369.4827586207,128837.6551724138,197675.0,238845.0,130369.4827586207,146330.76666666666,133655.41379310345,128837.6551724138,142467.13333333333,141076.24137931035,156171.0,128837.6551724138,135420.57892720305
200802,52256.0,1,0.8660254037844386,0.5000000000000001,20.0,0.0359,130369.4827586207,128837.6551724138,63907.0,206931.0,130369.4827586207,130369.4827586207,131693.46666666667,128837.6551724138,128837.6551724138,141076.24137931035,104612.66666666667,128837.6551724138,133380.81455938698
200803,100278.0,1,1.0,6.123233995736766e-17,21.0,0.0679,130369.4827586207,124500.4,52256.0,197675.0,130369.4827586207,130369.4827586207,133655.41379310345,128837.6551724138,128837.6551724138,142467.13333333333,72147.0,127391.90344827587,130386.3590038314
200804,79290.0,2,0.8660254037844387,-0.49999999999999983,22.0,0.0913,132133.23333333334,124500.4,100278.0,63907.0,130369.4827586207,130369.4827586207,146330.76666666666,124500.4,128837.6551724138,142467.13333333333,77274.66666666667,125946.15172413793,127391.90344827586
200805,161611.0,2,0.49999999999999994,-0.8660254037844387,21.0,0.1065,132133.23333333334,137749.46666666667,79290.0,52256.0,132133.23333333334,130369.4827586207,130369.4827586207,124500.4,128837.6551724138,128837.6551724138,113726.33333333333,128916.75555555556,128877.20536398467
200806,125971.0,2,1.2246467991473532e-16,-1.0,19.0,0.1117,133636.1,137749.46666666667,161611.0,100278.0,132133.23333333334,130369.4827586207,130369.4827586207,137749.46666666667,124500.4,128837.6551724138,122290.66666666667,133333.11111111112,130362.50727969348
